Instruction,Cycle timings,Un-normalized values,Normalized values,SD,Category
add,1,0.21624017073171,0.21624017073171,0.00402040289149,arith
adds,1,0.20329507317073,0.20329507317073,0.00345061690766,arith
add,1,0.21624017073171,0.21624017073171,0.00402040289149,cond
adds,1,0.20329507317073,0.20329507317073,0.00345061690766,cond
adc,1,0.21707185365854,0.21707185365854,0.00335039623839,arith
adcs,1,0.20819226829268,0.20819226829268,0.00363900740302,arith
qadd,2,0.206905,0.41381,0.00382320271181,quad
qdadd,3,0.21415697560976,0.64247092682927,0.00412876402983,quad
addeq,1,0.18251124390244,0.18251124390244,0.00347356402182,cond
addne,1,0.20639936585366,0.20639936585366,0.003993259154,cond
sub,1,0.21599636585366,0.21599636585366,0.0038719902096,arith
subs,1,0.20316843902439,0.20316843902439,0.00296374827811,arith
sbc,1,0.21672409756098,0.21672409756098,0.00342492915223,arith
sbcs,1,0.20663441463415,0.20663441463415,0.00299950115345,arith
rsb,1,0.21719134146342,0.21719134146342,0.00371981352542,arith
rsbs,1,0.20464575609756,0.20464575609756,0.00286103550059,arith
rsc,1,0.21807485365854,0.21807485365854,0.00333396013379,arith
rscs,1,0.20878853658537,0.20878853658537,0.00353371244083,arith
qsub,2,0.20626246341463,0.41252492682927,0.00394798924491,quad
qdsub,3,0.21512102439024,0.64536307317073,0.00358314180497,quad
ssat,3,0.20481665853659,0.61444997560976,0.00376956785781,saturate
ssat16,1,0.20585887804878,0.20585887804878,0.00359458490561,saturate
usat,3,0.20457229268293,0.61371687804878,0.00403044735908,saturate
usat16,1,0.20651512195122,0.20651512195122,0.00400490949439,saturate
mul,2,0.19297248780488,0.38594497560976,0.00390580081494,mul
muls,2,0.16921646341463,0.33843292682927,0.00332566300815,mul
mla,2,0.21198063414634,0.42396126829268,0.0047700832521,mul
mlas,2,0.17914473170732,0.35828946341463,0.00347910624228,mul
umull,3,0.20981356097561,0.62944068292683,0.0035493126923,mul
umulls,3,0.1788063902439,0.53641917073171,0.0031530585761,mul
umlal,3,0.22253065853658,0.66759197560976,0.00341020780862,mul
umlals,3,0.1869966097561,0.56098982926829,0.0029618223039,mul
umaal,3,0.22001514634146,0.66004543902439,0.00302490913841,mul
smull,3,0.21050756097561,0.63152268292683,0.00333838355838,mul
smulls,3,0.17928046341463,0.5378413902439,0.00331716442306,mul
smlal,3,0.22274595121951,0.66823785365854,0.0034952599537,mul
smlals,3,0.18703817073171,0.56111451219512,0.00352508510122,mul
smulbb,1,0.21619541463415,0.21619541463415,0.00538586046288,mul
smulbt,1,0.22347051219512,0.22347051219512,0.00448162671426,mul
smultb,1,0.21313387804878,0.21313387804878,0.00458485467065,mul
smultt,1,0.22053931707317,0.22053931707317,0.00361795910289,mul
smulwb,1,0.21845951219512,0.21845951219512,0.00699937765917,mul
smulwt,1,0.22441870731707,0.22441870731707,0.00440544301498,mul
smlabb,1,0.22439043902439,0.22439043902439,0.00403258157977,mul
smlabt,1,0.22450958536585,0.22450958536585,0.00412613582278,mul
smlatb,1,0.22511070731707,0.22511070731707,0.00486548734803,mul
smlatt,1,0.22419617073171,0.22419617073171,0.00422613279893,mul
smlawb,1,0.22478319512195,0.22478319512195,0.00443299558587,mul
smlawt,1,0.22549753658537,0.22549753658537,0.00466030489999,mul
smlalbb,2,0.21774807317073,0.43549614634146,0.00398481894432,mul
smlalbt,2,0.2195986097561,0.4391972195122,0.00390654268506,mul
smlaltb,2,0.21566382926829,0.43132765853659,0.0043364610608,mul
smlaltt,2,0.21605229268293,0.43210458536585,0.00383871511941,mul
smuad,1,0.22275097560976,0.22275097560976,0.00423848829752,mul
smuadx,1,0.22126224390244,0.22126224390244,0.00443986898719,mul
smlad,1,0.23200156097561,0.23200156097561,0.0050922996772,mul
smladx,1,0.23180395121951,0.23180395121951,0.00445033906601,mul
smlald,2,0.21816275609756,0.43632551219512,0.00354148213964,mul
smlaldx,2,0.21810663414634,0.43621326829268,0.0038405716213,mul
smusd,1,0.2221686097561,0.2221686097561,0.00396059347535,mul
smusdx,1,0.22121207317073,0.22121207317073,0.00484908763553,mul
smlsd,1,0.23356824390244,0.23356824390244,0.00506616457987,mul
smlsdx,1,0.23351109756098,0.23351109756098,0.00471236468424,mul
smlsld,2,0.21877551219512,0.43755102439024,0.00411190182764,mul
smlsldx,2,0.21840895121951,0.43681790243902,0.00415530369264,mul
smmul,2,0.19484043902439,0.38968087804878,0.00404722798269,mul
smmulr,2,0.19445907317073,0.38891814634146,0.00381229920633,mul
smmla,2,0.21121451219512,0.42242902439024,0.00398274055126,mul
smmlar,2,0.21831402439024,0.43662804878049,0.00363854908424,mul
smmls,2,0.21304187804878,0.42608375609756,0.00365874053497,mul
smmlsr,2,0.21699019512195,0.4339803902439,0.00306802035338,mul
mov,1,0.21839146341463,0.21839146341463,0.00388875480163,data
movs,1,0.20664785365854,0.20664785365854,0.00334429394321,data
mvn,1,0.21922992682927,0.21922992682927,0.00316827668315,data
mvns,1,0.20835578048781,0.20835578048781,0.00365979616594,data
asr,1,0.21871748780488,0.21871748780488,0.00369189189468,logic
asrs,1,0.19673790243902,0.19673790243902,0.00312263745469,logic
lsl,1,0.21859824390244,0.21859824390244,0.00341868309248,logic
lsls,1,0.19604202439024,0.19604202439024,0.00321693362925,logic
lsr,1,0.218396,0.218396,0.00362994745645,logic
lsrs,1,0.1958447804878,0.1958447804878,0.00354066512638,logic
ror,1,0.21846817073171,0.21846817073171,0.00385119568321,logic
rors,1,0.19545312195122,0.19545312195122,0.00365991764665,logic
rrx,1,0.21831951219512,0.21831951219512,0.00328239578715,logic
rrxs,1,0.20770456097561,0.20770456097561,0.00384162594545,logic
clz,1,0.22533995121951,0.22533995121951,0.00372436389692,logic
cmp,1,0.19230787804878,0.19230787804878,0.00318695129334,logic
